CMDLINE /home/david/stuff/stdio.h/tesis/SniffPyBot/venv/bin/python main.py
MEM 50.199219 1667771007.7823
MEM 50.199219 1667771007.8828
MEM 50.199219 1667771007.9835
MEM 50.199219 1667771008.0842
MEM 50.199219 1667771008.1846
MEM 50.199219 1667771008.2851
MEM 50.199219 1667771008.3856
MEM 50.199219 1667771008.4858
MEM 50.199219 1667771008.5861
MEM 50.199219 1667771008.6864
MEM 50.199219 1667771008.7868
MEM 50.199219 1667771008.8873
MEM 50.199219 1667771008.9878
MEM 50.199219 1667771009.0884
MEM 50.199219 1667771009.1891
MEM 50.199219 1667771009.2895
MEM 50.199219 1667771009.3901
MEM 50.199219 1667771009.4907
MEM 50.199219 1667771009.5911
MEM 50.199219 1667771009.6917
MEM 50.199219 1667771009.7923
MEM 50.199219 1667771009.8927
MEM 50.199219 1667771009.9930
MEM 50.199219 1667771010.0933
MEM 50.199219 1667771010.1935
MEM 50.199219 1667771010.2940
MEM 50.199219 1667771010.3944
MEM 50.199219 1667771010.4948
MEM 50.199219 1667771010.5953
MEM 50.199219 1667771010.6960
MEM 50.199219 1667771010.7965
MEM 50.199219 1667771010.8971
MEM 50.199219 1667771010.9977
MEM 50.199219 1667771011.0984
MEM 50.199219 1667771011.1989
MEM 50.199219 1667771011.2993
MEM 50.199219 1667771011.3998
MEM 50.199219 1667771011.5003
MEM 50.199219 1667771011.6009
MEM 50.199219 1667771011.7014
MEM 50.199219 1667771011.8019
MEM 50.199219 1667771011.9023
MEM 50.199219 1667771012.0028
MEM 50.199219 1667771012.1033
MEM 50.199219 1667771012.2038
MEM 50.199219 1667771012.3043
MEM 50.199219 1667771012.4048
MEM 50.199219 1667771012.5053
MEM 50.199219 1667771012.6058
MEM 50.199219 1667771012.7061
MEM 50.199219 1667771012.8066
MEM 50.199219 1667771012.9071
MEM 50.199219 1667771013.0075
MEM 50.199219 1667771013.1080
MEM 50.199219 1667771013.2085
MEM 50.199219 1667771013.3090
MEM 50.199219 1667771013.4094
MEM 50.199219 1667771013.5099
MEM 50.199219 1667771013.6103
MEM 50.199219 1667771013.7108
MEM 50.199219 1667771013.8113
MEM 50.199219 1667771013.9117
MEM 50.199219 1667771014.0125
MEM 50.199219 1667771014.1127
MEM 50.199219 1667771014.2132
MEM 50.199219 1667771014.3137
MEM 50.199219 1667771014.4141
MEM 50.199219 1667771014.5146
MEM 50.199219 1667771014.6150
MEM 50.199219 1667771014.7154
MEM 50.199219 1667771014.8157
MEM 50.199219 1667771014.9162
MEM 50.199219 1667771015.0166
MEM 50.199219 1667771015.1172
MEM 50.199219 1667771015.2176
MEM 50.199219 1667771015.3182
MEM 50.199219 1667771015.4186
MEM 50.199219 1667771015.5190
MEM 50.199219 1667771015.6196
MEM 50.199219 1667771015.7200
MEM 50.199219 1667771015.8205
MEM 50.199219 1667771015.9210
MEM 49.203125 1667771016.0214
MEM 49.203125 1667771016.1218
MEM 49.203125 1667771016.2222
MEM 49.203125 1667771016.3226
MEM 49.203125 1667771016.4230
MEM 49.203125 1667771016.5235
MEM 49.203125 1667771016.6239
MEM 49.203125 1667771016.7244
MEM 49.203125 1667771016.8248
MEM 49.203125 1667771016.9252
MEM 49.203125 1667771017.0257
MEM 49.203125 1667771017.1262
MEM 49.203125 1667771017.2266
MEM 49.203125 1667771017.3271
MEM 49.203125 1667771017.4276
MEM 49.203125 1667771017.5281
MEM 49.203125 1667771017.6285
MEM 49.203125 1667771017.7290
MEM 49.203125 1667771017.8294
MEM 49.203125 1667771017.9299
MEM 49.203125 1667771018.0304
MEM 49.203125 1667771018.1308
MEM 49.203125 1667771018.2313
MEM 49.203125 1667771018.3317
MEM 49.203125 1667771018.4322
MEM 49.203125 1667771018.5327
MEM 49.203125 1667771018.6332
MEM 49.203125 1667771018.7337
MEM 49.203125 1667771018.8342
MEM 49.203125 1667771018.9346
MEM 49.203125 1667771019.0351
MEM 49.203125 1667771019.1357
MEM 49.203125 1667771019.2362
MEM 49.203125 1667771019.3366
MEM 49.203125 1667771019.4373
MEM 49.203125 1667771019.5377
MEM 49.203125 1667771019.6380
MEM 49.203125 1667771019.7385
MEM 49.203125 1667771019.8389
MEM 49.203125 1667771019.9397
MEM 49.203125 1667771020.0401
MEM 49.203125 1667771020.1407
MEM 49.203125 1667771020.2413
MEM 49.203125 1667771020.3419
MEM 49.203125 1667771020.4424
MEM 49.203125 1667771020.5429
MEM 49.203125 1667771020.6434
MEM 49.203125 1667771020.7439
MEM 49.203125 1667771020.8443
MEM 49.203125 1667771020.9448
MEM 49.203125 1667771021.0453
MEM 49.203125 1667771021.1458
MEM 49.203125 1667771021.2462
MEM 49.203125 1667771021.3466
MEM 49.203125 1667771021.4471
MEM 49.203125 1667771021.5475
MEM 49.203125 1667771021.6480
MEM 49.203125 1667771021.7484
