CMDLINE /home/david/stuff/stdio.h/tesis/SniffPyBot/venv/bin/python main.py
CHLD 4 20.777344 1667770814.6303
CHLD 5 29.824219 1667770814.6303
CHLD 6 7.125000 1667770814.6303
MEM 74.812500 1667770814.7307
CHLD 0 7.078125 1667770814.7335
CHLD 1 178.656250 1667770814.7335
CHLD 2 17.429688 1667770814.7335
CHLD 3 20.074219 1667770814.7335
CHLD 4 20.777344 1667770814.7335
CHLD 5 29.824219 1667770814.7335
CHLD 6 7.125000 1667770814.7335
MEM 74.812500 1667770814.8339
CHLD 0 7.078125 1667770814.8372
CHLD 1 178.656250 1667770814.8372
CHLD 2 17.429688 1667770814.8372
CHLD 3 20.074219 1667770814.8373
CHLD 4 20.777344 1667770814.8373
CHLD 5 29.824219 1667770814.8373
CHLD 6 7.125000 1667770814.8373
MEM 74.812500 1667770814.9376
CHLD 0 7.078125 1667770814.9410
CHLD 1 178.656250 1667770814.9410
CHLD 2 17.429688 1667770814.9410
CHLD 3 20.074219 1667770814.9410
CHLD 4 20.777344 1667770814.9410
CHLD 5 29.824219 1667770814.9410
CHLD 6 7.125000 1667770814.9410
MEM 74.812500 1667770815.0414
CHLD 0 7.078125 1667770815.0447
CHLD 1 178.656250 1667770815.0447
CHLD 2 17.429688 1667770815.0447
CHLD 3 20.074219 1667770815.0447
CHLD 4 20.777344 1667770815.0447
CHLD 5 29.824219 1667770815.0447
CHLD 6 7.125000 1667770815.0447
MEM 74.812500 1667770815.1451
CHLD 0 7.078125 1667770815.1499
CHLD 1 178.656250 1667770815.1499
CHLD 2 17.429688 1667770815.1499
CHLD 3 20.074219 1667770815.1499
CHLD 4 20.777344 1667770815.1499
CHLD 5 29.824219 1667770815.1499
CHLD 6 7.125000 1667770815.1499
MEM 74.812500 1667770815.2504
CHLD 0 7.078125 1667770815.2573
CHLD 1 178.914062 1667770815.2574
CHLD 2 17.429688 1667770815.2574
CHLD 3 20.074219 1667770815.2574
CHLD 4 20.777344 1667770815.2575
CHLD 5 29.824219 1667770815.2575
CHLD 6 7.125000 1667770815.2575
MEM 74.812500 1667770815.3579
CHLD 0 7.078125 1667770815.3636
CHLD 1 178.914062 1667770815.3636
CHLD 2 17.429688 1667770815.3636
CHLD 3 20.074219 1667770815.3636
CHLD 4 20.777344 1667770815.3637
CHLD 5 29.105469 1667770815.3637
CHLD 6 7.125000 1667770815.3637
MEM 74.812500 1667770815.4641
CHLD 0 7.078125 1667770815.4691
CHLD 1 178.914062 1667770815.4691
CHLD 2 17.429688 1667770815.4691
CHLD 3 20.074219 1667770815.4691
CHLD 4 20.777344 1667770815.4691
CHLD 5 29.105469 1667770815.4691
CHLD 6 7.125000 1667770815.4691
MEM 74.820312 1667770815.5695
CHLD 0 7.078125 1667770815.5727
CHLD 1 179.171875 1667770815.5727
CHLD 2 17.636719 1667770815.5727
CHLD 3 20.074219 1667770815.5727
CHLD 4 20.777344 1667770815.5727
CHLD 5 29.105469 1667770815.5727
CHLD 6 7.125000 1667770815.5727
MEM 76.097656 1667770815.6730
CHLD 0 7.078125 1667770815.6759
CHLD 1 179.171875 1667770815.6759
CHLD 2 17.636719 1667770815.6759
CHLD 3 20.246094 1667770815.6759
CHLD 4 20.777344 1667770815.6759
CHLD 5 29.105469 1667770815.6759
CHLD 6 65.199219 1667770815.6759
CHLD 7 65.589844 1667770815.6759
CHLD 8 65.792969 1667770815.6759
CHLD 9 7.125000 1667770815.6760
MEM 78.636719 1667770815.7764
CHLD 0 7.078125 1667770815.7822
CHLD 1 179.171875 1667770815.7822
CHLD 2 17.636719 1667770815.7822
CHLD 3 20.246094 1667770815.7822
CHLD 4 20.777344 1667770815.7823
CHLD 5 29.105469 1667770815.7823
CHLD 6 65.199219 1667770815.7823
CHLD 7 65.589844 1667770815.7823
CHLD 8 65.792969 1667770815.7823
CHLD 9 7.125000 1667770815.7823
MEM 78.738281 1667770815.8827
CHLD 0 7.078125 1667770815.8880
CHLD 1 179.171875 1667770815.8880
CHLD 2 17.636719 1667770815.8880
CHLD 3 20.246094 1667770815.8880
CHLD 4 20.777344 1667770815.8880
CHLD 5 29.105469 1667770815.8880
CHLD 6 65.199219 1667770815.8880
CHLD 7 65.589844 1667770815.8880
CHLD 8 66.347656 1667770815.8881
CHLD 9 7.125000 1667770815.8881
MEM 78.765625 1667770815.9884
CHLD 0 7.078125 1667770815.9932
CHLD 1 179.171875 1667770815.9932
CHLD 2 17.636719 1667770815.9932
CHLD 3 20.246094 1667770815.9932
CHLD 4 20.777344 1667770815.9932
CHLD 5 29.105469 1667770815.9932
CHLD 6 65.199219 1667770815.9933
CHLD 7 65.589844 1667770815.9933
CHLD 8 66.347656 1667770815.9933
CHLD 9 7.125000 1667770815.9933
MEM 80.847656 1667770816.0937
CHLD 0 7.078125 1667770816.0982
CHLD 1 179.171875 1667770816.0982
CHLD 2 17.636719 1667770816.0982
CHLD 3 20.246094 1667770816.0983
CHLD 4 20.777344 1667770816.0983
CHLD 5 29.105469 1667770816.0983
CHLD 6 65.199219 1667770816.0983
CHLD 7 65.589844 1667770816.0983
CHLD 8 66.347656 1667770816.0983
CHLD 9 69.152344 1667770816.0983
CHLD 10 71.148438 1667770816.0983
CHLD 11 7.125000 1667770816.0983
MEM 80.941406 1667770816.1988
CHLD 0 7.078125 1667770816.2043
CHLD 1 179.171875 1667770816.2044
CHLD 2 17.636719 1667770816.2044
CHLD 3 20.246094 1667770816.2044
CHLD 4 20.777344 1667770816.2044
CHLD 5 29.105469 1667770816.2044
CHLD 6 65.199219 1667770816.2044
CHLD 7 65.589844 1667770816.2044
CHLD 8 66.347656 1667770816.2045
CHLD 9 69.152344 1667770816.2045
CHLD 10 71.148438 1667770816.2045
CHLD 11 71.226562 1667770816.2045
CHLD 12 71.234375 1667770816.2045
CHLD 13 7.125000 1667770816.2045
MEM 84.050781 1667770816.3050
CHLD 0 7.078125 1667770816.3100
CHLD 1 179.171875 1667770816.3101
CHLD 2 17.636719 1667770816.3101
CHLD 3 20.246094 1667770816.3101
CHLD 4 20.777344 1667770816.3101
CHLD 5 29.105469 1667770816.3101
CHLD 6 65.199219 1667770816.3101
CHLD 7 65.589844 1667770816.3101
CHLD 8 66.347656 1667770816.3101
CHLD 9 69.152344 1667770816.3101
CHLD 10 71.148438 1667770816.3102
CHLD 11 71.226562 1667770816.3102
CHLD 12 72.015625 1667770816.3102
CHLD 13 7.125000 1667770816.3102
MEM 84.433594 1667770816.4106
CHLD 0 7.078125 1667770816.4195
CHLD 1 179.171875 1667770816.4195
CHLD 2 17.636719 1667770816.4195
CHLD 3 20.246094 1667770816.4195
CHLD 4 20.777344 1667770816.4196
CHLD 5 29.105469 1667770816.4196
CHLD 6 65.199219 1667770816.4196
CHLD 7 65.589844 1667770816.4196
CHLD 8 66.347656 1667770816.4196
CHLD 9 69.152344 1667770816.4197
CHLD 10 71.148438 1667770816.4197
CHLD 11 71.226562 1667770816.4197
CHLD 12 72.015625 1667770816.4198
CHLD 13 7.125000 1667770816.4198
MEM 84.433594 1667770816.5202
CHLD 0 7.078125 1667770816.5285
CHLD 1 179.425781 1667770816.5285
CHLD 2 17.636719 1667770816.5285
