CMDLINE /home/david/stuff/stdio.h/tesis/SniffPyBot/venv/bin/python main.py
MEM 25.125000 1667753865.2985
CHLD 0 7.125000 1667753865.3048
CHLD 1 171.609375 1667753865.3048
CHLD 2 6.980469 1667753865.3048
MEM 25.125000 1667753865.4054
CHLD 0 7.125000 1667753865.4112
CHLD 1 171.609375 1667753865.4112
CHLD 2 6.980469 1667753865.4112
MEM 29.371094 1667753865.5117
CHLD 0 7.125000 1667753865.5182
CHLD 1 171.863281 1667753865.5182
CHLD 2 6.980469 1667753865.5182
MEM 35.031250 1667753865.6186
CHLD 0 7.125000 1667753865.6229
CHLD 1 172.878906 1667753865.6229
CHLD 2 6.980469 1667753865.6230
MEM 39.242188 1667753865.7235
CHLD 0 7.125000 1667753865.7287
CHLD 1 172.878906 1667753865.7287
CHLD 2 6.980469 1667753865.7287
MEM 39.242188 1667753865.8292
CHLD 0 7.125000 1667753865.8354
CHLD 1 173.128906 1667753865.8354
CHLD 2 6.980469 1667753865.8354
MEM 39.480469 1667753865.9360
CHLD 0 7.125000 1667753865.9409
CHLD 1 173.128906 1667753865.9409
CHLD 2 6.980469 1667753865.9409
MEM 40.250000 1667753866.0414
CHLD 0 7.125000 1667753866.0454
CHLD 1 173.386719 1667753866.0455
CHLD 2 6.980469 1667753866.0455
MEM 43.171875 1667753866.1459
CHLD 0 7.125000 1667753866.1516
CHLD 1 173.386719 1667753866.1517
CHLD 2 6.980469 1667753866.1517
MEM 43.171875 1667753866.2522
CHLD 0 7.125000 1667753866.2588
CHLD 1 173.386719 1667753866.2588
CHLD 2 6.980469 1667753866.2588
MEM 43.171875 1667753866.3592
CHLD 0 7.125000 1667753866.3656
CHLD 1 173.386719 1667753866.3656
CHLD 2 6.980469 1667753866.3657
MEM 43.171875 1667753866.4662
CHLD 0 7.125000 1667753866.4737
CHLD 1 173.644531 1667753866.4738
CHLD 2 6.980469 1667753866.4738
MEM 44.261719 1667753866.5742
CHLD 0 7.125000 1667753866.5783
CHLD 1 173.644531 1667753866.5784
CHLD 2 6.980469 1667753866.5784
MEM 44.777344 1667753866.6788
CHLD 0 7.125000 1667753866.6848
CHLD 1 176.738281 1667753866.6848
CHLD 2 6.980469 1667753866.6848
MEM 50.386719 1667753866.7855
CHLD 0 7.125000 1667753866.7921
CHLD 1 176.996094 1667753866.7921
CHLD 2 6.980469 1667753866.7921
MEM 60.902344 1667753866.8927
CHLD 0 7.125000 1667753866.8991
CHLD 1 176.996094 1667753866.8992
CHLD 2 6.980469 1667753866.8992
MEM 62.187500 1667753866.9998
CHLD 0 7.125000 1667753867.0052
CHLD 1 178.542969 1667753867.0053
CHLD 2 6.980469 1667753867.0053
MEM 66.570312 1667753867.1057
CHLD 0 7.125000 1667753867.1130
CHLD 1 178.542969 1667753867.1130
CHLD 2 6.980469 1667753867.1130
MEM 66.570312 1667753867.2134
CHLD 0 7.125000 1667753867.2204
CHLD 1 178.542969 1667753867.2204
CHLD 2 6.980469 1667753867.2205
MEM 66.570312 1667753867.3208
CHLD 0 7.125000 1667753867.3274
CHLD 1 178.542969 1667753867.3275
CHLD 2 6.980469 1667753867.3275
MEM 66.570312 1667753867.4279
CHLD 0 7.125000 1667753867.4358
CHLD 1 178.542969 1667753867.4358
CHLD 2 6.980469 1667753867.4359
MEM 66.570312 1667753867.5362
CHLD 0 7.125000 1667753867.5405
CHLD 1 178.800781 1667753867.5405
CHLD 2 6.980469 1667753867.5405
MEM 66.570312 1667753867.6409
CHLD 0 7.125000 1667753867.6453
CHLD 1 178.800781 1667753867.6453
CHLD 2 6.980469 1667753867.6453
MEM 66.570312 1667753867.7456
CHLD 0 7.125000 1667753867.7502
CHLD 1 178.800781 1667753867.7503
CHLD 2 6.980469 1667753867.7503
MEM 64.593750 1667753867.8506
CHLD 0 7.125000 1667753867.8563
CHLD 1 178.800781 1667753867.8563
CHLD 2 6.980469 1667753867.8564
MEM 64.593750 1667753867.9568
CHLD 0 7.125000 1667753867.9614
CHLD 1 178.800781 1667753867.9614
CHLD 2 6.980469 1667753867.9614
MEM 47.617188 1667753868.0619
CHLD 0 7.125000 1667753868.0681
CHLD 1 178.800781 1667753868.0681
CHLD 2 6.980469 1667753868.0681
MEM 47.617188 1667753868.1687
CHLD 0 7.125000 1667753868.1731
CHLD 1 178.800781 1667753868.1731
CHLD 2 6.980469 1667753868.1731
MEM 47.617188 1667753868.2736
CHLD 0 7.125000 1667753868.2790
CHLD 1 178.800781 1667753868.2791
CHLD 2 6.980469 1667753868.2791
MEM 47.617188 1667753868.3795
CHLD 0 7.125000 1667753868.3839
CHLD 1 178.800781 1667753868.3839
CHLD 2 6.980469 1667753868.3839
MEM 47.617188 1667753868.4844
CHLD 0 7.125000 1667753868.4921
CHLD 1 178.800781 1667753868.4921
CHLD 2 6.980469 1667753868.4921
MEM 47.617188 1667753868.5926
CHLD 0 7.125000 1667753868.6035
CHLD 1 178.800781 1667753868.6035
CHLD 2 6.980469 1667753868.6035
MEM 47.617188 1667753868.7040
CHLD 0 7.125000 1667753868.7091
CHLD 1 178.800781 1667753868.7091
CHLD 2 6.980469 1667753868.7091
MEM 47.617188 1667753868.8095
CHLD 0 7.125000 1667753868.8160
CHLD 1 178.800781 1667753868.8160
CHLD 2 6.980469 1667753868.8160
MEM 47.617188 1667753868.9163
CHLD 0 7.125000 1667753868.9211
CHLD 1 179.058594 1667753868.9212
CHLD 2 6.980469 1667753868.9212
MEM 47.617188 1667753869.0215
CHLD 0 7.125000 1667753869.0264
CHLD 1 179.058594 1667753869.0264
CHLD 2 6.980469 1667753869.0264
MEM 47.617188 1667753869.1269
CHLD 0 7.125000 1667753869.1311
CHLD 1 179.058594 1667753869.1311
CHLD 2 6.980469 1667753869.1311
MEM 47.617188 1667753869.2315
CHLD 0 7.125000 1667753869.2350
